,song_index,topic,name,artist,lyrics,res_API,status_API,name_API
19660,19660,Songs about secrets,"Cowboys Are Frequently, Secretly Fond of Each Other",Willie Nelson,"There's many a strange impulse out on the plains of West Texas
There's many a young boy who feels things he don't comprehend 
Well small town don't like it when somebody falls between sexes
No, a small town don't like it when a cowboy has feelings for men

And I believe in my soul that inside every man there's a feminine
And inside every lady there's a deep manly voice loud and clear
Well, a cowboy may brag about things that he does with his women
But the ones who brag loudest are the ones that are most likely queer

Cowboys are frequently secretly fond of each other
Say what did you think those saddles and boots was about? 
And there's many a cowboy who don't understand the way that he feels for his brother, 
And inside every cowboy there's a lady that'd love to slip out
 
And there's always somebody who says what the others just whisper
And mostly that someone's the first one to get shot down dead
So when you talk to a cowboy don't treat him like he was a sister 
You can't fuck with the lady that's sleepin' in each cowboy's head

Cowboys are frequently secretly fond of each other 
What did you think all them saddles and boots was about? 
And there's many a cowboy
Who don't understand the way that he feels for his brother
And inside every lady there's a cowboy who wants to come out
And inside every cowboy there's a lady that'd love to slip out",aprox,200,"Cowboys Are Frequently, Secretly (Fond Of Each Other)"
15569,15569,Songs about money,New Money,Calvin Harris,"Yeah
Yeah, yeah, yeah, yeah, yeah

Gucci on me, check (21), Hermes, check (Check)
Louis V, check, yeah, Fendi cost a check (Yeah)
Diamonds on my neck (Yeah), I make your bitch wet (Yeah)
Treat me like a king (Yeah), no disrespect (21)
Show you how to ball (Ball), meet me at the mall (Mall)
She said, ""Why you bark? "" Bitch, I'm a dog (Roof)
Went and bought a 'Rari (21), left the shit parked (Parked)
I ain't with the Twitter shit, I let it spark (Fah)

Gucci garments, kush smell like armpits
You domеstic, all I ride is foreign shit
Sippin' Hi-Tech and I got a hot TEC
I got nеw money, it ain't even out yet
You went bought a plane ticket, but I chartered it
Tryna hit your main thing, let me borrow it
Sippin' Hi-Tech and I got a hot TEC
I got new money, it ain't even out yet

Ridin' in a coupe (21), tryna find a route (Yeah)
Draco in the seat make you chicken noodle soup (Yeah)
Jumped out the stu' (Yeah), never wore a suit (21)
Rap niggas come around Savage, get screwed (On God)
Fuck my best partner, make the bitch drop him (On God)
Never sold drugs, nigga, I'm a robber (Yeah)
Lil' bitch bother, hit dawg, holler
Hit my first lick, went and bought a Marni collar (On God)

Gucci garments, kush smell like armpits
You domestic, all I ride is foreign shit
Sippin' Hi-Tech and I got a hot TEC
I got new money, it ain't even out yet
You went bought a plane ticket, but I chartered it
Tryna hit your main thing, let me borrow it
Sippin' Hi-Tech and I got a hot TEC
I got new money, it ain't even out yet

Gucci garments, kush smell like armpits
You domestic, all I ride is foreign shit
Sippin' Hi-Tech and I got a hot TEC
I got new money, it ain't even out yet
You went bought a plane ticket, but I chartered it
Tryna hit your main thing
Sippin' Hi-Tech and I got a hot TEC
I got new money, it ain't even out yet",aprox,200,New Money (feat. 21 Savage)
19665,19665,Songs about secrets,"Hush, Hush",Pistol Annies,"My brother got out of rehab
Right around Christmas time
Mama made a turkey
Daddy was worried he was gonna have to break up a fight

Everybody was walking on eggshells
Drinking eggnog instead of beer
We were holdin' our tongues, scratchin' our heads
Wonderin' how the hell we got here

Hush, hush, don't you dare say a word
Hush, hush, don't you know the truth hurts
Hush, hush, when push comes to shove 
it's best to keep it hush, hush

We were sitting around the dinner table
And we were eating our pumpkin pie
While the sugar-coated pretty little secret 
was eating everybody alive

Well daddy's reading propaganda
And he's talking 'bout the end of days
Well cheers to the vodka mama's been sneakin'
Let's all gather 'round and pray

Hush, hush, don't you dare say a word
Hush, hush, don't you know the truth hurts
Hush, hush, when push comes to shove
 it's best to keep it hush, hush

So I snuck behind the red barn
And I took myself a toke
Since everybody here hates everybody here
Hell I might as well be the joke

I'm gonna dance up on the table
Singing ""This Little Light of Mine""
God gave it to me, what good's it gonna do me
If I don't, by God, let it shine

Hush, hush, don't you dare say a word
Hush, hush, don't you know the truth hurts
Hush, hush, when push comes to shove 
it's best to keep it hush, hush

Hide your tattoo, put on your Sunday best
Pretend you're not a mess, be the happy family in the front pew

Hush, hush, don't you dare say a word
Hush, hush, don't you know the truth hurts
Hush, hush, when push comes to shove 
it's best to keep it hush, hush
[x2]

Best to keep it hush, hush",aprox,200,Hush Hush
23764,23764,Songs about unity,Why Can't We Be Friends?,War,"(Chorus:)

Why can't we be friends (4x)

I've seen you 'round for a long long time
I remembered you when you drank my wine

(Chorus)

I've seen you walking down in Chinatown
I called you but you could not look around

(Chorus)

I paid my money to the welfare line
I see you standing in it every time

(Chorus)

The color of your skin don't matter to me
As long as we can live in harmony

(Chorus)

I'd kind of like to be the President
So I can show you how your money's spent

(Chorus)

Sometimes I don't speak right
But yet I know what I'm talking about

(Chorus)

I know you're working for the CIA
They wouldn't have you in the Mafi-A.

(Chorus)",aprox,200,Why Can't We Be Friends
21737,21737,Songs about the dangers of materialism,"Spend, Spend, Spend",Barbara Dickson,"Viv/Chorus : All aboard the gravy train
Wave goodbye to travelling second class
All aboard the gravy train

Viv : Just count the flunkies,
Queuing to kiss my arse.
Solo 1 : Stick your snout into the trough,
You can jump for joy - you can blow your horn.
Solo 2 : Now your rocket's taking off,
You'll have champagne over your morning cornflakes.
Viv/Chorus : All aboard the gravy train
Snap your fingers - someone'll bring a drink.
All aboard the gravy train.
Viv : Hey, look out London,
I'm gonna paint you pink.
Solo 3 : Stuff your face with caviar,
Have your fill of fur coats and feather beds.
Solo 4 : All the world's your oyster bar.
And if money talks you can shout your head off.
Chorus : Kicks - get your kicks.
Young Viv : Bottoms up, it's all a giggle.
Chorus : Kicks - get your kicks.
Keith : Flippin' 'eck!
D'yer see that jiggle?
Chorus : Kicks - get your kicks
Solo 5 : Wine and dine, it's not on ration.
Chorus : Kicks - get your kicks
Solo 6 : Quick! It's going out of fashion.
Chorus : Now the gravy train's in the station,
Time to have a big celebration.
Time for a party,
Time to get your
Kicks - get your kicks.
Get your kicks.
Kicks - get your kicks.
Get your kicks.

Bruce Forsyth : All right, my loves?
Chorus : Kicks - get your kicks.
Bruce : I'm in charge!
Chorus : Kicks - get your kicks,
Bruce : Where are they then? Oh, is it you?
Chorus :  Kicks - get your kicks
Get your kicks.

Bruce : Look at all this beautiful money
Lovely lolly - sweeter than honey.
Chorus : Pics - take your pics.
Reporters : Lift your leg up, don't be shy, love,
And look happy, come on, try, love.
Chorus : Pics  take your pics.
Reporters : Watch the birdie - mustn't cry, dear,
Make it sexy, that's the idea.
Chorus : Pics  take your pics,
Take your pics.
Bruce : Look at all this beautiful money,
Look at all this beautiful money.
Reporters : Watcha gonna do with it, love?
Watcha gonna do with it, love?
Watcha gonna do with it, love?
Young Viv : I'm gonna Spend! Spend! Spend!

A watch!
I want a watch so full of diamonds
You can hardly see the time.
I want a watch,
Another scotch.

A mink!
I want a mink though I'm not sure
I ever wanted mink before.
At least, I think,
I want a mink.

What does one of them cost?
I'll buy it.
What's that thingy there do?
Let's try it!

Any fad
Good or bad,
Let's go mad.

Keith : A gun!
I want a gun, won't I look swish,
Now I can hunt and shoot and fish,
I want a gun,
It might be fun.

Some clubs!
I want some clubs, before I'm through
I'm gonna buy Gleneagles too.
I want some clubs
And loadsa pubs.

Is that one a cheap one?
Then scrap it
Don't look at the price tag
Just wrap it.

Keith/Young Viv : Never stop
Gonna shop
Til we drop.

Keith/Young Viv/Chorus : Spend spend spend!
We're gonna
Spend spend spend!
We're gonna
Spend spend spend!

We're gonna
Spend spend spend!
We're gonna
Spend spend spend spend
Spend spend spend!

Young Viv : More booze!
I want more booze, I want it quicker,
Then I'm gonna lick the liquor,
Offa yous
I want more booze.

The lot!
I want the lot with flippin' knobs on,
Here's two fingers to the snobs.
Look what I've got!
I've got the lot.

Gonna have me bath taps
Gold plated.
Gonna have me sex life
X-rated

Keith/Young Viv : Have a ball,
Do it all
Till we fall.

Keith/Young Viv/Chorus : Spend spend spend!
We're gonna,
Spend spend spend!
We're gonna,
Spend spend spend!
We're gonna,
Spend spend spend!
We're gonna,
Spend spend spend spend spend spend!
Spend spend spend spend spend spend!
Spend spend spend spend spend spend!Spend!

Spend spend spend!
We're gonna
Spend spend spend!
We're gonna
Spend spend spend!
We're gonna
Spend spend spend!
We're gonna
Spend!
Spend!
Spend spend spend,
We're gonna
Spend spend spend spend!
We're gonna
Spend spend spend spend spend spend!
Spend spend spend spend spend spend!
Spend spend spend spend spend spend!
Spend spend spend spend spend spend!
Spend!
Spend spend spend spend spend spend spend spend!
Spend!",aprox,200,Spend Spend Spend
23788,23788,Songs about working,It's Five O'Clock Somewhere,Alan Jackson,"The sun is hot and that ol' clock is movin' slow
And so am I
Workday passes like molassas in wintertime
But it's July
Gettin' paid by the hour and older by a minute
My boss just pushed me over the limit
I'd like to call him somethin'
But think I'll just call it a day

(Chorus:)
Pour me somethin' tall and strong
Make it a hurricane before I go insane
It's only half past twelve, but I don't care
It's five o'clock somewhere

Well this lunch break is gonna take all afternoon
And half the night
Tomorrow morning I know there'll be hell to pay
Hey, but that's alright
Ain't had a day off now in over a year
My Jamaican vacation is gonna start right here
If the phone's for me
You can tell 'em I've just sailed away

(Chorus:)
Pour me somethin' tall and strong
Make it a hurricane before I go insane
It's only half past twelve, but I don't care
It's five o'clock somewhere

I could pay off my tab
Pour myself in a cab and be back to work before 2
At a moment like this, I can't help but wonder
What would Jimmy Buffet do?

Jimmy Buffet spoken:
Funny you should ask, Alan
I'd say
Pour me somethin' tall and strong
Make it a hurricane before I go insane
It's only half past twelve, but I don't care
Pour me somethin' tall and strong
Make it a hurricane before I go insane
It's only half past twelve, but I don't care
He don't care
And I don't care
It's five o'clock somewhere",aprox,200,It's 5 o'clock Somewhere
17646,17646,Songs about places,Dead Man's Curve,Jan & Dean,"Heart and soul, I fell in love with you
Heart and soul, the way a fool would do, madly
Because you held me tight
And stole a kiss in the night

Heart and soul, I begged to be adored
Lost control, and tumbled overboard, gladly
That magic night we kissed
There in the moon mist

Oh! but your lips were thrilling, much too thrilling
Never before were mine so strangely willing

But now I see, what one embrace can do
Look at me, it's got me loving you madly
That little kiss you stole
Held all my heart and soul",aprox,200,Dead Mans Curve
19701,19701,Songs about regret,She Hates Me,Big Boi,"She Hates Me""
(feat. Kid Cudi)

[Verse 1: Big Boi]
She said she love me when I'm gone
She miss me being home
I'm always at the studio that makes her alone
Recently she even seems to hate on all my songs
Deleted my pictures took my face up out her phone
Where did we go wrong I'm sitting here thinkin'
She said the weed too strong, it keeps my breath stinkin'
Dizzy high, I ride away in my Lincoln
Close my eyes and fly away but no blinking
I'm just dreaming she ain't really screaming
It goes both ways and I was trying to get even
Lost my whole evening mostly for no reason and
Just my broken weaslin', now I'm trying to ease it in
Came home late I just put the key in
It would probably be straight if she was european
She's not she's hot and mad as she can be
If you can hate on anybody girl I'm glad it was me

[Hook: Kid Cudi]
She hates me, I know it I kno'
She hates me, I know it for sure
But I'm a make her love me
I'm a make her love me again
She hates me, la la la
She hates me

[Verse 2: Big Boi]
I mean it started with the rose petal, ended with the stem
By the car, while I was thinking ""Damn here we go again""
We used to hold hands and had such deep convo
Make a few plans like you wanna go where I'm a go?
Well let's leave pronto and that's what we did
Then we yelled out geronimo and jumped off that bridge
Had a couple kids, you can move where I live
I know old ass niggas that's scared to do what I did
The shoe still fits but I'm wearing out the sole
Sometimes I really feel as if I'm burning out my soul
I should have a lot, been preparing for my show
But instead everybody keeps dick riding my flow
Now I know I ain't white bitch, but bitch I ain't broke
If she acting like a bitch, I guess we're around white folk
Forgive me if I raise my voice I won't raise a hand
But one thing I will do baby is raise my little man

[Hook]",aprox,200,She Hates Me (Feat. Kid Cudi)
23799,23799,Songs about working,Matthew And Son,Cat Stevens,"Up at eight, you can't be late
for Matthew & Son, he won't wait. 

Watch them run down to platform one 

And the eight-thirty train to Matthew & Son. 

Matthew & Son, the work's never done, there's always something new. 
The files in your head, you take them to bed, you're never ever through. 
And they've been working all day, all day, all day! 

There's a five minute break and that's all you take, 
for a cup of cold coffee and a piece of cake. 

Matthew & Son, the work's never done, there's always something new. 
The files in your head, you take them to bed, you're never ever through. 
And they've been working all day, all day, all day! 

He's got people who've been working for fifty years 
No one asks for more money cuz nobody dares 
Even though they're pretty low and their rent's in arrears

Matthew & Son, Matthew & Son, Matthew & Son, Matthew & Son, 
And they've been working all day, all day, all day!",aprox,200,Matthew & Son
19706,19706,Songs about regret,Sorry,Rick Ross,"She's just perfect in every kinda way
But I don't think I can handle her pain
So messed up and I'm too busy just running my game
Oh, girl after girl, mistake after mistake
I tried to change but they always around
Pulling me down in bed
Gave you my word but they were just broken promises
Broken condoms, lipstick marks and unprotected sex
I feel like shit, you know I ain't shit

Sorry, won't turn back the clock
Baby I took advantage cause I knew you
Wouldn't believe it, so I used you
I'm sorry, oh I'm sorry don't make it right, I know

[Rick Ross]
We at the crib
She got her legs wrapped around my waist
Conversation, she lick every tattoo that's on my face
Like a thug, I just wanna fuck on it, that's every day
Temporary separations, confessing my mistakes
She packed her bags and left me home and I'm still hurt
You new pussy, but she can't tell me that it's real first
A lot of lies apologised, the thirst real
When she hit this thinking to herself
""Damn this verse real""
Rehab about it Vegas, I made this with Merc
Send the bottles to her table then made love on the jet
Temporary thrills, all these women
You think I told you
My feelings genuine
Disregard what you see on blogs
I been a boss before I ever recorded Meek song
Mill and Cash on the gram, they trending Meech home
In the D in my G and he throwing that P-Stone
Every picture that you post we comments on each one

[Chris Brown]
I'm just a typical ordinary nigga
But I know that I can't change for you
All this time I blamed you cause I know what I'm doing
Stabbing on your heart again
Relationship ruined
I tried to change but I'm always out
Fucking around in the club
Pieces of my love letter tore up from this break up
My worst nightmare went right in my back
I wish I could wake up
I feel like shit, know I ain't shit but I'm

Sorry, don't turn back the clock
Baby I took advantage cause I knew you
Wouldn't believe it, so I used you
I'm sorry, oh I'm sorry don't make it right, I know

[Rick Ross]
Life's short, baby girl you deserve a winner
Every day the diamonds on you get bigger and bigger
Hustle from my heart
So every night I can deliver
Saying sorry, laying up, way up in your liver
Boss, the red bottom's got you walking funny
Get you an agent, she balling and all she talk is money
Take you shopping, baby boy ain't no salary caps
She get it popping so you better bring battery packs
Perfect time to relax
Nothing is perfect other than me and the perfect match
They all watch me
Cause the moves I make out they budget
Diamond digits, six figures on my shorty nugget

I tried to change but they always around
Pulling me down in bed
Gave you my word but they were just broken promises
Broken condoms, lipstick marks and unprotected sex
I feel like shit, you know I ain't shit

Sorry, don't turn back the clock
Baby I took advantage cause I knew you
Wouldn't believe it, so I used you
I'm sorry, oh I'm sorry don't make it right, I know",aprox,200,Sorry (Feat. Chris Brown)
23802,23802,Songs about working,No Time,KSI,"D-Diego

I ain't got no time for when I wake up, yeah
Believe me, I see through a lot of fake love, yeah
But I'ma let it go because it really ain't a thing to me, yeah (Cha, cha)
I stay focused on my trip, crew flyin', you stay cryin', I ain't hidin'
Shit you say I can just read your mind, through your vibe, I stay shinin'
Ain't no dimming over here

I don't go to panic for that interview
I can call whenever for that rendezvous
Feel the room, I got presence
And I never came in with a thing in a village where the only thing that they hear is me
How can they cancel, when the only thing that made me was me?
Been gainin' titles since a teen, ready to pree, and bitch, I'm still here
Standin' like a Pando tree, bitch, I am OP

I ain't got no time for when I wake up, yeah
Believe me, I see through a lot of fake love, yeah
But I'ma let it go because it really ain't a thing to me, yeah (Cha, cha)
I stay focused on my trip, crew flyin', you stay cryin', I ain't hidin'
Shit you say I can just read your mind, through your vibe, I stay shinin'
Ain't no dimming over here (Yeah)

I put that shit on I be gettin' from these owners, I be fly as hell
I give bro'nem hope about they out there, even though it's far as hell
I fly different bitches out to hang, I got three spots to chill (Yeah, yeah)
Ain't gon lie the way this K blast, I got 'em on for real (Let's get it)
Put down the drink, I turn this Glock to an fully auto, uh, uh (Yeah, yeah)
Gucci headband on my head like Leonardo, uh, uh (Yeah, I don't want)
Took a pint and two FN's when I went to Capo (Went to Capo, uh)
I was gettin' head on the jet, she playin' Mulatto (Uh, uh)
Made it out the mud, I'm a thug (Yeah, yeah)
Never ask for a second chance (Yeah, yeah)
I'ma go ouside and jugg (Nah, nah)
Perry Ellis sweatpants with a hundred thousand in the club (Club)
Surrounded by the same motherfuckers from my hood, I'm good

Don't take my time for granted
You seem to start to worry
Man, you know that I'm about it
I'm changin' views, there's nothing you can do
And I believe in my crew

I ain't got no time for when I wake up, yeah
Believe me, I see through a lot of fake love, yeah
But I'ma let it go because it really ain't a thing to me, yeah (Ch, cha)
I stay focused on my trip, crew flyin', you stay cryin', I ain't hidin'
Shit you say I can just read your mind, through your vibe, I stay shinin'
Ain't no different over here",aprox,200,No Time (Feat. Lil Durk)
17664,17664,Songs about political figures,Lets Go Brandon,Loza Alexander,"(Let's go, Brandon) Ayy (Let's go, Brandon), ayy
Ayy (Let's go-, let's go, let's-, let's-, let-, let-, let-, let-)

(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
Ayy, you know what they sayin', hoe

Ayy, you know what thеy sayin', though
(Fuck Joe Biden, Fuck Joe Bidеn)
Ayy, you know what they-, woo
(Fuck Joe Biden, Fuck Joe Biden)
Yeah, uh, you know what they-, yeah
(Fuck Joe Biden, Fuck Joe Biden)
Ayy

[Verse 1]
And I say it wit' a passion (Fuck Joe Biden)
As I pull off in the Aston (Fuck Joe Biden)
Don't nobody like his ass, huh? (Fuck Joe Biden)
Tried to cover up, but tell the people, go Brandon (Fuck Joe Biden)
But we know what they sayin', though (Fuck Joe Biden)
You can hear the chant in every post (Fuck Joe Biden)
Don't nobody want this commie 'cause we not in China
(Fuck Joe Biden)
Everybody hated Trump, and now they out to catch a body (Fuck Joe Biden)
That's what they get for treatin' us like we in Squid Games (Fuck Joe Biden)
Green light, mandate like he's insane (Fuck Joe Biden)
These times, people wakin' up to e'erything
Go Brandon, but we all know what the sayin' mean

(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden) You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden) You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden) Ayy, you know what they sayin', hoe

Ayy, you know what they sayin', though (Fuck Joe Biden)
Ayy, you know what they-, woo (Fuck Joe Biden)
Yeah, uh, you know what they-, yeah (Fuck Joe Biden)
Ayy

(Fuck Joe Biden)
For silencing the Christians (Fuck Joe Biden)
For burnin' us like incense (Fuck Joe Biden)
For puttin' us in prison (Fuck Joe Biden)
94 Crime Bill had us listed
Now you givin' us a jab like Floyd
At least with Trump, he was givin' us a choice
Left the troops in Afghanistan, boy
And you was on vacay, iPhone on avoid
Airplane mode, blocked number, you was gone
Tried to call for help, but got the dial tone, though
Freedom can't stand it, we know you a savage
And you wonder why everyone keep chantin' out

(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
You know what they sayin', hoe
(Let's go, Brandon, Fuck Joe Biden)
(Let's go, Brandon, Fuck Joe Biden)
Ayy, you know what they sayin', hoe

Ayy, you know what they sayin', though (Fuck Joe Biden)
Ayy, you know what they-, woo (Fuck Joe Biden)
Yeah, uh, you know what they-, yeah (Fuck Joe Biden)
Ayy

And they better not ban me (For real!)
The best lawyers come in handy (Oh yeah)
And he's better than Johnny Cochran
Watch Jesus Christ open up cases like a locksmith (Sheesh!)
I'm a monster with the truth, no Loch Ness (Sheesh)
Ain't no stoppin' us, and can't nobody top this
Commies won't last 'cause God is the only option
Tommy with a mag, my Second Amendment poppin'
Let's go, Brandon, this a new anthem
Loza Train smash and make the left side panic
Let's go, Brandon, lefties need to can it
And people need to stop actin' like commies got the answers

(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)
(Fuck Joe Biden)",aprox,200,Let's Go Brandon
17667,17667,Songs about political figures,Like Home,Eminem,"Yeah
Shout to everybody
Who's been on this trip with me
You don't have to agree
But if you feel like me

Someone get this aryan a sheet
Time to bury him, 
so tell him to prepare to get impeached
Everybody on your feet
This is where terrorism and
heroism meets, square up in the streets
This chump barely even sleeps
All he does is watch 
Fox News like a parrot and repeats
While he looks like a canary with a beak
Why you think banned 
transgenders from the military with a tweet?
He's trying to divide us, 
this shit's like a cult
But like Johnny, he'll only unite us
'Cuz nothing drives us inside 
like this fight does
Similar to when two cars collide 
'cause our spirits are crushed
This spot's a tight one
But here the jaws of life 
come to pull us from the wreckage
That's what we get pride from
When we can't wear stars and stripes 
'cause this type of pickle 
we're in is hard to deal
But there's always tomorrow still
If we start from the scratch 
like a scab for scars to heal
And band together for Charolettesville
And for Heather fallen heroes
Fill his wall with murals, Nevada get up
Hit the damn resetter, let's start from zero
This is our renewal, spray tan get ride of
Get a brand new, better, America
And here's to where we're from

This is where it all began, all began 
(stand up)
Here's to the land that made me
And made me who I am, who I am 
(hands up)
Here's to the land that raised me
There's home for the only place 
that really knows me
From the cracks in the road that drove me
There's no place like home

Didn't wanna piss your base off, did ya?
Can't denounce the klan,
'cause they play golf with ya
You stay on Twitter,
way to get your hate off, Nazi
I do not see a way y'all differ
And all you got a race card 
biggot, the swastika 
with your name carved in it
Should be your trademark, 
cause it's all you played off
And you just took the plate off,
so I guess it pays 
to feed off of chaos
So basically, you Adolf Hitler
But you ain't ruining our country, punk
You won't take our pride from us
You won't define us
'Cause like a dictionary,
 things are looking up
So much, got a sprained neck
Know we would rise up
Against this train wreck 
and take a stand
Even if it mean sitting 
when they raise the flag
This ain't the Star Spangled Banner
This man just praised 
a statue of General Lee, 'cause
He generally hates the black people, 
degrades hispanics
Take it back to the Shady national convention
Wish I would have spit on it 
before I went to shake his hand at the event
Or maybe had the wherewithal
To know that he was gonna 
try to tear apart a sacred land
We cherish and stand for, so
Hands in the air, let's hear it for
The start of a brand new America
Without him, and be proud of where we're from
And here's to where we're from

This is where it all began, 
all began (stand up)
Here's to the land that made me
And made me who I am, who I am (hands up)
Here's to the land that raised me
There's home for the only place that really knows me
From the cracks in the road that drove me
There's no place like home

I won't give up
I won't give up on my home,
that so many died for
You already know that I won't give up
I won't give up on my home,
that so many died for
You already know there's no place like home,
no place like home
Wherever I go,
no place like home
No place like home, 
no place like home
Wherever I go

This is where it all began, all began
(stand up)
Here's to the land that made me
And made me who I am, who I am (hands up)
Here's to the land that raised me
There's home for the only place that really knows me
From the cracks in the road that drove me
There's no place like home",aprox,200,Like Home (Feat. Alicia Keys)
17687,17687,Songs about heartache,Nothing Breaks Like A Heart,Mark Ronson,"This world can hurt you
It cuts you deep and leaves a scar
Things fall apart
But nothing breaks like a heart
And nothing breaks like a heart

I heard you on the phone last night
We live and die by pretty lies
You know it, oh, we both know it
These silver bullet cigarettes
This burning house, there's nothing left
It's smoking, we both know it
We got all night to fall in love
But just like that we fall apart
We're broken, we're broken

Well nothing, nothing, nothing gon' save us now

Well, there's broken silence
By thunder crashing in the dark (Crash in the dark)
And this broken record
Spin endless circles in the bar (Spin 'round in the bar)
This world can hurt you
It cuts you deep and leaves a scar
Things fall apart
But nothing breaks like a heart
And nothing breaks like a heart

We'll leave each other cold as ice
And high and dry, the desert wind
Is blowin', is blowin'
Remember what you said to me?
We were drunk in love in Tennessee
And I hold it, we both know it

Nothing, nothing, nothing gon' save us now
Nothing, nothing, nothing gon' save us now

Well, there's broken silence
By thunder crashing in the dark (Crash in the dark)
And this broken record
Spin endless circles in the bar (Spin 'round in the bar)
This world can hurt you
It cuts you deep and leaves a scar
Things fall apart
But nothing breaks like a heart
And nothing breaks like a heart
Nothing breaks like a heart
And nothing breaks like a heart

My heart, my heart
Nothing, nothing, nothing gon' save us now
My heart, my heart
Nothing, nothing, nothing gon' save us now

Well, there's broken silence
By thunder crashing in the dark (Crash in the dark)
And this broken record
Spin endless circles in the bar (Spin 'round in the bar)
This world can hurt you
It cuts you deep and leaves a scar
Things fall apart
But nothing breaks like a heart
But nothing breaks like a heart
But nothing breaks like a heart
But nothing breaks like a heart",aprox,200,Nothing Breaks Like a Heart (Feat. Miley Cyrus)
17697,17697,Songs about people who committed crimes,Tired of Running,Snoop Lion,"[Intro: Akon]
Konvict

[Verse 1: Snoop Lion]
I'm sitting on my porch watching the law
As they ride past in they patrol cars
So tell me why I feel like the enemy
They're supposed to be here protecting me
I might have went too far
Helping to contribute to making their job hard
Serving fiends like these people ain't no enemy
I can't believe I'm out here killing my community
If you knew how far I came
Where I am and where I used to be
I don't want it, you can tell by the look at me
This gangsta life ain't no longer in me

[Hook x2: Akon]
And I'm tired of the running, tired of the running
Tired of the running, running from the law
Baby, you gotta believe me

[Verse 2: Snoop Lion]
I know there's things I could've changed, girl
I know there's things I could've done a lot better
Instead, I'm in the streets trying to make that cheddar
Thinking in my mind that you gonna be there forever
I know I could've let it all go (let it all go)
But I was thinkin it would make life better (make life better)
Instead I'm sittin in this cell writin this letter
Thought I wouldn't get caught cause I was way too clever
I learned there's no one to catch ya when ya falling
And they'll be no one to hear you when you're calling
Do you know what it's like to wake up in the morning
While you're starvin you're hearin bugs crawling
Reminiscing on them days you was walking
With pretty women on your arm while you're flossing
Thankful that I didn't end up in a coffin
Something we see too often

[Hook]

[Interlude]
Said I'm tired
Said I'm tired
I said I'm tired
So tired, yeah

[Hook]

[Outro: Akon]
Said I'm tired",aprox,200,Tired of Running (Feat. Akon)
